32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.708984,16.671387,13.406250,19327352832,8695808,0,0,1073741824,900202496,932,0,0,1,traditional_with_pset_runqueue,0,2629.88,2930.96,462,0.897277
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.708984,16.671387,13.406250,19327352832,8695808,0,0,1073741824,900202496,932,0,0,1,traditional_with_pset_runqueue,0,54.2048,54.4225,0,0.995998
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.708984,16.671387,13.406250,19327352832,8695808,0,0,1073741824,900202496,932,0,0,1,traditional_with_pset_runqueue,0,54.5551,54.0334,0,1.00966
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.708984,16.671387,13.406250,19327352832,8695808,0,0,1073741824,900202496,932,0,0,1,traditional_with_pset_runqueue,0,58.4642,58.479,0,0.999748
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.708984,16.671387,13.406250,19327352832,8695808,0,0,1073741824,900202496,932,0,0,1,traditional_with_pset_runqueue,0,55.551,55.6305,0,0.998571
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.806641,16.645020,14.866699,19327352832,7057408,0,0,1073741824,900202496,916,0,0,1,traditional_with_pset_runqueue,0,2553.95,2993.83,487,0.853071
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.806641,16.645020,14.866699,19327352832,7057408,0,0,1073741824,900202496,916,0,0,1,traditional_with_pset_runqueue,0,2968.32,3000.73,402,0.989202
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.806641,16.645020,14.866699,19327352832,7057408,0,0,1073741824,900202496,916,0,0,1,traditional_with_pset_runqueue,0,2731.38,3010.58,471,0.907258
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.806641,16.645020,14.866699,19327352832,7057408,0,0,1073741824,900202496,916,0,0,1,traditional_with_pset_runqueue,0,2650.1,2981.99,466,0.888701
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.806641,16.645020,14.866699,19327352832,7057408,0,0,1073741824,900202496,916,0,0,1,traditional_with_pset_runqueue,0,55.0999,55.1108,0,0.999801
